SITE_ID,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,TPtoTN
NLA06608-0528,40.6951802,-99.85564,5.25,814,65,12.52307692,0.07985258
NLA06608-0529,47.1844144,-119.3639845,3.28,508,42,12.0952381,0.082677165
NLA06608-0530,31.0598838,-81.4130868,4.78,1016,117,8.683760684,0.11515748
NLA06608-0531,46.0340736,-99.1679106,23.96,2697,57,47.31578947,0.021134594
NLA06608-0533,42.2521803,-78.2923708,2.33,178,6,29.66666667,0.033707865
NLA06608-0537,37.6955888,-81.0548323,2.01,256,11,23.27272727,0.04296875
NLA06608-0540,35.1710432,-99.3711523,9.72,2250,235,9.574468085,0.104444444
NLA06608-0541,38.9650435,-77.3374568,3.99,329,14,23.5,0.042553191
NLA06608-0542,45.7857507,-88.3657935,13.49,1303,15,86.86666667,0.011511896
NLA06608-0546,42.3549666,-71.4797893,5.61,4022,181,22.22099448,0.045002486
NLA06608-0547,44.2067283,-89.8348641,6.34,519,10,51.9,0.019267823
NLA06608-0550,43.9575273,-71.9679131,2.48,234,1,234,0.004273504
NLA06608-0551,45.1082347,-94.1680192,6.68,1361,54,25.2037037,0.039676708
NLA06608-0555,41.7209286,-85.0076901,5.65,578,8,72.25,0.01384083
NLA06608-0558,46.7633039,-96.2151878,11.8,1154,17,67.88235294,0.014731369
NLA06608-0560,35.6185888,-101.6607655,4.75,532,27,19.7037037,0.05075188
NLA06608-0561,44.9484358,-116.0893222,1.99,86,5,17.2,0.058139535
NLA06608-0562,41.6868681,-71.6108784,4.1,307,6.5,53.55555556,0.018672199
NLA06608-0564,35.9747259,-105.9168212,4.09,217,14,15.5,0.064516129
NLA06608-0565,37.2452592,-121.9668773,4.02,704,81,8.691358025,0.115056818
NLA06608-0569,34.6051754,-112.4389242,17.75,2188,518,4.223938224,0.236745887
NLA06608-0570,45.4421355,-109.2242066,3.57,300,12,25,0.04
NLA06608-0579,46.8246971,-99.7794296,23.78,2694,229,11.76419214,0.085003712
NLA06608-0580,37.1771885,-82.3910488,2.39,183,10,18.3,0.054644809
NLA06608-0581,43.2526386,-114.3827885,2.68,241,8,30.125,0.033195021
NLA06608-0582,41.8007937,-72.5246839,3.31,2709,315,8.6,0.11627907
NLA06608-0583,31.2062744,-91.5469012,14.18,4897,590,8.3,0.120481928
NLA06608-0585,39.4865853,-118.7255216,3.02,505,105,4.80952381,0.207920792
NLA06608-0587,41.2184867,-86.591156,6.965,1212,29.5,41.06264368,0.024353035
