SITE_ID,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,TPtoTN
NWCA16-3163,30.56791,-88.61144,16.8,1.6,160,0.095238095,10.50000003
NWCA16-3221,46.75415,-111.29636,4.275,0.4065,36.5,0.095813244,10.43697054
NWCA16-3222,45.826445,-111.209695,27.4,4.995,519,0.186797629,5.353387007
NWCA16-3224,45.89908,-112.38479,20.3,0.454,156,0.022364532,44.71365643
NWCA16-3236,45.89572,-112.38927,6.96,0.58,126,0.083333333,12.00000005
NWCA16-3239,46.22283,-111.17152,3.71,0.352,124,0.094878706,10.53977275
NWCA16-3247,46.75549,-111.30205,5.65,1.99,60,0.352212389,2.839195983
NWCA16-3250,48.39425,-113.27354,10.2,0.934,76,0.091568627,10.92077093
NWCA16-3256,45.41148,-110.92498,3.14,0.253,80,0.080573248,12.41106726
NWCA16-3259,44.45963,-112.91182,1.57,0.262,52,0.166878981,5.992366408
NWCA16-3275,45.06081,-113.28033,8.05,0.416,124,0.051677019,19.3509614
NWCA16-3286,47.23712,-114.16817,1.13,0.438,24,0.387610619,2.579908679
NWCA16-3292,47.46093,-112.84186,1.58,0.251,34,0.158860759,6.294820737
NWCA16-3296,48.86691,-108.70363,60.8,4.74,1540,0.077960526,12.82700427
NWCA16-3300,48.55938,-114.70449,1.85,0.181,20,0.097837838,10.22099446
NWCA16-3302,45.09199,-113.42198,2.21,0.247,62,0.111764706,8.947368412
NWCA16-3308,48.40427,-107.72778,15.5,2.5,750,0.161290323,6.199999984
NWCA16-3314,48.95504,-115.63235,2.21,0.245,26,0.110859729,9.020408123
NWCA16-3316,48.86295,-107.59708,126,9.59,739,0.076111111,13.13868615
NWCA16-3321,47.09175,-113.76997,4.47,0.409,18,0.091498881,10.92909541
NWCA16-3328,35.6535515,-77.6207995,20.05,5.7345,117.5,0.265546448,3.76581953
NWCA16-3329,34.88363,-76.51601,59.7,3.11,155,0.052093802,19.19614161
NWCA16-3330,35.60197,-75.81847,41.5,2.78,58,0.066987952,14.92805751
NWCA16-3331,35.395914,-76.307561,44.5,2.98,28,0.066966292,14.93288594
NWCA16-3332,35.69546,-76.23489,25.2,2.32,115,0.092063492,10.86206897
NWCA16-3333,35.69804,-76.23035,21.6,1.62,93,0.075,13.33333333
NWCA16-3336,35.632763,-77.699575,33.8,1.5,43,0.044378698,22.53333345
NWCA16-3337,35.78773,-75.881138,47.4,1.73,15,0.03649789,27.39884415
NWCA16-3341,35.39648,-76.44037,23.4,1.92,26,0.082051282,12.18750001
NWCA16-3344,34.99125,-76.54071,37.4,5.16,24,0.137967914,7.248062039
