UniqueLakeName,Lat,Lon,DOC_Median,TN_Median,TP_Median,TNtoTP_Median,pH,TPtoTN
L8285,62.9,-92.28,0.0035,0.293,0.0044,38.69565217,7.6,0.025842697
L8286,62.9,-92.21,0.0045,0.38,0.0058,NA,7.4,NA
L8287,62.91,-92.22,0.0107,0.403,0.0084,65.51724138,7.6,0.015263158
L8288,62.91,-92.16,0.0046,0.544,0.0051,47.97619048,7.2,0.020843672
L8289,62.92,-92.23,0.0037,0.507,0.0131,106.6666667,7.1,0.009375
L8290,62.92,-92.18,0.0038,0.323,0.007,38.70229008,7.1,0.025838264
L8291,62.92,-92.16,0.0027,0.227,0.004,46.14285714,7.1,0.021671827
L8294,62.9959,27.8952,NA,NA,NA,NA,NA,NA
L8295,63,-146.03,NA,0.15,0.011,10.58823529,7,0.094444444
L8296,63.06,-145.38,NA,0.09,0.015,13.63636364,6.9,0.073333333
L8297,63.07,-146.15,NA,0.09,0.01,NA,7.1,NA
L8298,63.1,-145.42,NA,0.21,0.025,9,7.1,0.111111111
L8305,63.47,-144.31,NA,0.66,0.048,8.4,7.2,0.119047619
L8306,63.48,-143.53,NA,0.54,0.025,13.75,6.7,0.072727273
L8308,63.59,-68.75,0.0037,0.187,0.0047,56.75,8.6,0.017621145
L8310,63.76,-68.45,0.0045,0.175,0.0029,39.78723404,7.9,0.02513369
L8311,63.77,-68.53,0.0013,0.116,0.0013,60.34482759,8,0.016571429
L8312,63.78,-68.56,0.0024,0.249,0.0023,89.23076923,8.1,0.011206897
L8313,63.78,-68.55,0.0021,0.149,0.0019,NA,8,NA
L8314,63.78,-68.54,0.0023,0.148,0.002,78.42105263,8.3,0.012751678
L8315,63.78,-68.44,0.0109,0.145,0.0029,74,8.2,0.013513514
L8316,63.79,-68.55,0.0021,0.109,0.0017,50,7,0.02
L8317,63.79,-68.54,0.0032,0.202,0.003,64.11764706,8.6,0.01559633
L8318,63.79,-68.53,0.0015,0.121,0.0028,67.33333333,8.4,0.014851485
L8319,63.8,-68.56,0.0024,0.236,0.0023,43.21428571,8.6,0.023140496
L8320,63.8,-68.55,0.0016,0.161,0.002,102.6086957,8.3,0.009745763
L8321,63.8,-68.53,1,0.089,0.0032,80.5,8.4,0.01242236
L8322,63.81,-68.58,0.0017,0.15,0.003,27.8125,8.6,0.035955056
L8323,63.81,-68.56,0.0013,0.111,0.0012,NA,8.6,NA
L8325,64.07,-145.11,NA,0.51,0.019,21.6,6.8,0.046296296
L8327,64.24,-95.99,0.0029,0.189,0.0057,92.5,7.2,0.010810811
L8328,64.25,-146.5,NA,0.19,0.008,24.84962406,6.8,0.040242057
L8329,64.27,-150.5,NA,0.18,0.017,23.75,7.1,0.042105263
L8330,64.33,-95.9,0.0035,0.26,0.0053,33.15789474,8.4,0.03015873
L8331,64.34,-95.99,0.0034,0.24,0.0087,49.05660377,8.8,0.020384615
L8332,64.34,-95.97,0.0026,0.186,0.0041,27.5862069,7.7,0.03625
L8333,64.34,-95.94,0.0032,0.235,0.0049,45.36585366,8.4,0.022043011
L8334,64.34,-95.91,0.003,0.253,0.006,47.95918367,8.2,0.020851064
L8335,64.34,-95.9,0.004,0.269,0.0058,42.16666667,8.4,0.023715415
L8336,64.35,-96.01,0.0025,0.218,0.0044,46.37931034,8.2,0.021561338
L8337,64.35,-95.93,0.00345,0.322,0.0062,49.54545455,8.7,0.020183486
L8338,64.35,-95.91,0.0034,0.294,0.0069,NA,8.1,NA
L8340,64.4,-96.03,0.0034,0.233,0.0049,NA,8.4,NA
L8341,64.4,-96.01,0.0038,0.27,0.0056,NA,8.3,NA
L8342,64.41,-96.03,0.0032,0.254,0.0044,NA,8.4,NA
L8343,64.45,-96.07,0.0026,0.23,0.0061,NA,8.4,NA
L8344,64.46,-96.09,0.0038,0.224,0.0044,NA,8.2,NA
L8345,64.46,-96.08,0.0028,0.203,0.005,NA,8.1,NA
L8347,64.51,-96.14,0.0039,0.235,0.0045,NA,8,NA
L8348,64.52,-96.16,0.0054,0.396,0.0056,NA,8.3,NA
L8349,64.55,-96.21,0.0024,0.209,0.0058,NA,8,NA
L8350,64.56,-96.22,0.00265,0.2505,0.004,NA,8,NA
L8352,64.57,-96.25,0.0026,0.18,0.003,62.625,8.1,0.015968064
L8353,64.57,-96.22,0.00345,0.2475,0.0048,60,8.3,0.016666667
L8354,64.58,-96.27,0.0028,0.257,0.0106,51.5625,8.8,0.019393939
L8355,64.61,-96.28,0.0022,0.141,0.003,24.24528302,8,0.041245136
L8363,66.1166,28.65,NA,NA,0.009,NA,NA,NA
L8366,66.53,-86.22,0.0054,0.442,0.0064,47,8.5,0.021276596
L8367,66.55,-86.31,0.0042,0.355,0.0047,69.0625,8.9,0.014479638
L8368,66.55,-86.28,0.002,0.273,0.0073,75.53191489,8.4,0.013239437
L8369,66.55,-86.26,0.0028,0.317,0.0091,37.39726027,8.5,0.026739927
L8370,66.56,-86.28,0.0042,0.313,0.0049,34.83516484,8.2,0.028706625
L8371,66.58,-86.32,0.0041,0.345,0.007,NA,8.5,NA
L8372,66.85,-51.79,NA,NA,NA,NA,NA,NA
L8373,66.85,-51.76,NA,NA,NA,NA,NA,NA
L8374,66.86,-51.9,NA,NA,NA,NA,NA,NA
L8375,66.87,-155.68,NA,0.32,0.003,NA,NA,NA
L8376,66.91,-50.44,NA,NA,NA,NA,NA,NA
L8377,66.92,-50.43,NA,NA,NA,NA,NA,NA
L8378,66.93,-155.63,NA,0.36,0.004,106.6666667,NA,0.009375
L8379,66.93,-155.02,NA,0.36,0.006,90,NA,0.011111111
L8380,66.93,-50.42,NA,NA,NA,NA,NA,NA
L8381,66.93,-50.4,NA,NA,NA,NA,NA,NA
L8382,66.95,-51.58,NA,NA,NA,NA,NA,NA
L8383,66.98,-154.7,NA,0.25,0.005,60,NA,0.016666667
L8384,66.98,-51.06,NA,NA,NA,NA,NA,NA
L8385,66.99,-51.14,NA,NA,NA,NA,NA,NA
L8386,66.99,-50.96,NA,NA,NA,NA,NA,NA
L8387,67.01,-51.08,NA,NA,NA,NA,NA,NA
L8388,67.01,-50.98,NA,NA,NA,NA,NA,NA
L8389,67.02,-51.12,NA,NA,NA,NA,NA,NA
L8390,67.12,-50.25,NA,NA,NA,NA,NA,NA
L8391,67.13,-154.38,NA,0.3,0.004,50,NA,0.02
L8392,67.13,-50.24,NA,NA,NA,NA,NA,NA
L8393,67.13,-50.17,NA,NA,NA,NA,NA,NA
L8394,67.16,-50.34,NA,NA,NA,NA,NA,NA
L8395,67.16,-50.29,NA,NA,NA,NA,NA,NA
L8396,67.16,-50.28,NA,NA,NA,NA,NA,NA
L8397,67.17,-50.35,NA,NA,NA,NA,NA,NA
