"SITE_ID","DOC_Median","NO3_Median","TN_Median","TP_Median","TNtoTP_Median","NO3toTP_Median"
"NRS18_NC_10035",0.32,0.0694,0.169,28.725,0.005883377,0.002416014
"NRS18_NC_10037",3.11,0.81,1.103,87.765,0.012567652,0.009229192
"NRS18_NC_10038",18.54,0.3755,1.253,111.283,0.011259581,0.00337428
"NRS18_NC_10111",9.42,0.9691,1.556,81.249,0.019151005,0.011927531
"NRS18_NC_10155",8.35,0.175,0.718,61.326,0.011707922,0.002853602
"NRS18_NC_10346",4.38,0.1742,0.365,65.26,0.005593013,0.002669323
"NRS18_NC_10555",3.49,0.3164,0.564,21.384,0.02637486,0.014796109
"NRS18_NC_10645",6.82,0.4991,0.864,105.341,0.008201935,0.004737946
"NRS18_NC_10897",3.68,3.7799,4.288,340.111,0.012607649,0.011113725
"NRS18_NC_RF001",0.66,0.161,0.196,19.545,0.01002814,0.008237401
"NRS18_NC_RF002",0.73,0.0706,0.15,17.55,0.008547009,0.004022792
"NRS18_ND_10001",17.145,0.0038,1.2615,64.3605,0.021683412,6.2725e-05
"NRS18_ND_10002",15.01,0.16115,1.8265,790.9595,0.002365286,0.0002333835
"NRS18_ND_10003",11,0.0119,0.759,59.748,0.012703354,0.00019917
"NRS18_ND_10004",19.44,0.0061,1.424,114.858,0.012397917,5.31091e-05
"NRS18_ND_10005",15.6,0.0012,1.581,771.5,0.002049255,1.55541e-06
"NRS18_ND_10007",13.28,0.0054,1.131,101.568,0.011135397,5.31664e-05
"NRS18_ND_10008",9.03,0.2999,1.251,126.219,0.009911345,0.002376029
"NRS18_ND_10009",11.3,0.0057,1.043,61.048,0.017084917,9.33692e-05
"NRS18_ND_10010",6.425,0.20695,0.6395,215.1655,0.002972998,0.000962713
"NRS18_ND_10011",11.21,0.0011,1.281,150.491,0.009099416,2.544425e-06
"NRS18_ND_10013",19.77,NA,1.884,899.025,0.002095604,0
"NRS18_ND_10014",17.52,0.0157,1.612,297.913,0.005410976,5.26999e-05
"NRS18_ND_10015",15.44,0.1902,1.173,223.051,0.005258887,0.00085272
"NRS18_ND_10017",10.3,0,1.004,84.31,0.011908433,0
"NRS18_ND_10018",12.17,0,1.208,143.208,0.008435283,0
"NRS18_ND_10019",12.84,NA,1.329,173.533,0.007658486,0
"NRS18_ND_10023",47.09,NA,2.722,256.72,0.010602992,0
"NRS18_ND_10026",13.14,0.0641,1.369,320.836,0.004266978,0.000199791
"NRS18_ND_10027",12.28,0,1.118,64.841,0.017242177,0
"NRS18_ND_10028",8.38,0.3551,1.12,63.929,0.017519436,0.0055546
"NRS18_ND_10029",12.31,0,0.87,73.506,0.011835769,0
"NRS18_ND_10030",16.35,0.0423,1.437,797.225,0.001802502,5.3059e-05
